@id;addr:street;addr:housenumber;amenity;addr:city;addr:postcode;@lat;@lon
847692622;Žiemgalių g.;345;;Šiauliai;78307;55.8955999;23.2822419
847692624;Kalniškių g.;12;;Šiauliai;78306;55.8955038;23.2779161
847692628;Žiemgalių g.;359;;Šiauliai;78307;55.8951857;23.2814792
847692629;Žiemgalių g.;79;;Šiauliai;78307;55.8989012;23.2890912
847692631;Jotvingių g.;94;;Šiauliai;;55.8947080;23.2830388
847692633;Žiemgalių g.;79A;;Šiauliai;78307;55.8987706;23.2884432
847692635;Pikeliškės g.;71;;Šiauliai;78219;55.9009725;23.2928124
847692636;Žiemgalių g.;103;;Šiauliai;78307;55.8993300;23.2876464
847692637;Žiemgalių g.;233;;Šiauliai;78307;55.8974805;23.2824239
847692638;Kalniškių g.;28;;Šiauliai;;55.8948593;23.2797403
847692642;Žiemgalių g.;103A;;Šiauliai;78307;55.8989884;23.2876719
847692643;Kalniškių g.;14;;Šiauliai;78306;55.8953906;23.2781275
847692645;Žiemgalių g.;297;;Šiauliai;78307;55.8967774;23.2806044
847692646;Kalniškių g.;57;;Šiauliai;;55.8939390;23.2831597
847692648;Pikeliškės g.;78;;Šiauliai;78219;55.9031389;23.2920920
847692649;Kalniškių g.;2;;Šiauliai;78306;55.8956131;23.2762606
848773755;L. Rėzos g.;24D;;Šiauliai;78304;55.8923711;23.2719328
848773770;L. Rėzos g.;14D;;Šiauliai;78304;55.8934728;23.2749372
848773790;L. Rėzos g.;18E;;Šiauliai;78304;55.8932285;23.2736521
848773794;L. Rėzos g.;24E;;Šiauliai;78304;55.8925692;23.2714222
848773818;L. Rėzos g.;14C;;Šiauliai;78304;55.8932973;23.2754003
848773829;L. Rėzos g.;18F;;Šiauliai;78304;55.8934003;23.2732173
848773860;L. Rėzos g.;14B;;Šiauliai;78304;55.8931315;23.2759469
848773869;M. Mažvydo g.;28D;;Šiauliai;78304;55.8922744;23.2695862
848773880;L. Rėzos g.;18;;Šiauliai;78304;55.8924043;23.2758472
